arquivo;caminho;campo;observacao
governador-pr.json;resumo.cargo;cargo;resumo
governador-pr.json;resumo.abrangencia;abrangencia;resumo
governador-pr.json;resumo.apuracao_pct;apuracao_pct;resumo
governador-pr.json;resumo.apuracao_pct_num;apuracao_pct_num;resumo
governador-pr.json;resumo.selo;selo;resumo
governador-pr.json;resumo.hora_atualizacao;hora_atualizacao;resumo
governador-pr.json;candidatos[0].visivel;cand1_visivel;sempre o candidato numero 10
governador-pr.json;candidatos[0].numero;cand1_numero;sempre o candidato numero 10
governador-pr.json;candidatos[0].nome;cand1_nome;sempre o candidato numero 10
governador-pr.json;candidatos[0].partido;cand1_partido;sempre o candidato numero 10
governador-pr.json;candidatos[0].nome_partido;cand1_nome_partido;sempre o candidato numero 10
governador-pr.json;candidatos[0].percentual;cand1_percentual;sempre o candidato numero 10
governador-pr.json;candidatos[0].percentual_num;cand1_percentual_num;sempre o candidato numero 10
governador-pr.json;candidatos[0].votos;cand1_votos;sempre o candidato numero 10
governador-pr.json;candidatos[0].foto;cand1_foto;sempre o candidato numero 10
governador-pr.json;candidatos[0].cor;cand1_cor;sempre o candidato numero 10
governador-pr.json;candidatos[0].eleito;cand1_eleito;sempre o candidato numero 10
governador-pr.json;candidatos[0].barra_px;cand1_barra_px;sempre o candidato numero 10
governador-pr.json;candidatos[0].barra_resto_px;cand1_barra_resto_px;sempre o candidato numero 10
governador-pr.json;candidatos[0].barra_esc;cand1_barra_esc;sempre o candidato numero 10
governador-pr.json;candidatos[0].barra_idx;cand1_barra_idx;sempre o candidato numero 10
governador-pr.json;candidatos[1].visivel;cand2_visivel;sempre o candidato numero 20
governador-pr.json;candidatos[1].numero;cand2_numero;sempre o candidato numero 20
governador-pr.json;candidatos[1].nome;cand2_nome;sempre o candidato numero 20
governador-pr.json;candidatos[1].partido;cand2_partido;sempre o candidato numero 20
governador-pr.json;candidatos[1].nome_partido;cand2_nome_partido;sempre o candidato numero 20
governador-pr.json;candidatos[1].percentual;cand2_percentual;sempre o candidato numero 20
governador-pr.json;candidatos[1].percentual_num;cand2_percentual_num;sempre o candidato numero 20
governador-pr.json;candidatos[1].votos;cand2_votos;sempre o candidato numero 20
governador-pr.json;candidatos[1].foto;cand2_foto;sempre o candidato numero 20
governador-pr.json;candidatos[1].cor;cand2_cor;sempre o candidato numero 20
governador-pr.json;candidatos[1].eleito;cand2_eleito;sempre o candidato numero 20
governador-pr.json;candidatos[1].barra_px;cand2_barra_px;sempre o candidato numero 20
governador-pr.json;candidatos[1].barra_resto_px;cand2_barra_resto_px;sempre o candidato numero 20
governador-pr.json;candidatos[1].barra_esc;cand2_barra_esc;sempre o candidato numero 20
governador-pr.json;candidatos[1].barra_idx;cand2_barra_idx;sempre o candidato numero 20
governador-pr.json;candidatos[2].visivel;cand3_visivel;sempre o candidato numero 30
governador-pr.json;candidatos[2].numero;cand3_numero;sempre o candidato numero 30
governador-pr.json;candidatos[2].nome;cand3_nome;sempre o candidato numero 30
