arquivo;caminho;campo;observacao
governador-pr.json;resumo.cargo;cargo;resumo
governador-pr.json;resumo.abrangencia;abrangencia;resumo
governador-pr.json;resumo.apuracao_pct;apuracao_pct;resumo
governador-pr.json;resumo.apuracao_pct_num;apuracao_pct_num;resumo
governador-pr.json;resumo.secoes_totalizadas;secoes_totalizadas;resumo
governador-pr.json;resumo.secoes_total;secoes_total;resumo
governador-pr.json;resumo.votos_validos;votos_validos;resumo
governador-pr.json;resumo.votos_brancos;votos_brancos;resumo
governador-pr.json;resumo.votos_nulos;votos_nulos;resumo
governador-pr.json;resumo.selo;selo;resumo
governador-pr.json;resumo.hora_atualizacao;hora_atualizacao;resumo
governador-pr.json;candidatos[0].visivel;cand1_visivel;1o colocado no momento
governador-pr.json;candidatos[0].numero;cand1_numero;1o colocado no momento
governador-pr.json;candidatos[0].nome;cand1_nome;1o colocado no momento
governador-pr.json;candidatos[0].partido;cand1_partido;1o colocado no momento
governador-pr.json;candidatos[0].nome_partido;cand1_nome_partido;1o colocado no momento
governador-pr.json;candidatos[0].percentual;cand1_percentual;1o colocado no momento
governador-pr.json;candidatos[0].percentual_num;cand1_percentual_num;1o colocado no momento
governador-pr.json;candidatos[0].votos;cand1_votos;1o colocado no momento
governador-pr.json;candidatos[0].votos_num;cand1_votos_num;1o colocado no momento
governador-pr.json;candidatos[0].eleito;cand1_eleito;1o colocado no momento
governador-pr.json;candidatos[1].visivel;cand2_visivel;2o colocado no momento
governador-pr.json;candidatos[1].numero;cand2_numero;2o colocado no momento
governador-pr.json;candidatos[1].nome;cand2_nome;2o colocado no momento
governador-pr.json;candidatos[1].partido;cand2_partido;2o colocado no momento
governador-pr.json;candidatos[1].nome_partido;cand2_nome_partido;2o colocado no momento
governador-pr.json;candidatos[1].percentual;cand2_percentual;2o colocado no momento
governador-pr.json;candidatos[1].percentual_num;cand2_percentual_num;2o colocado no momento
governador-pr.json;candidatos[1].votos;cand2_votos;2o colocado no momento
governador-pr.json;candidatos[1].votos_num;cand2_votos_num;2o colocado no momento
governador-pr.json;candidatos[1].eleito;cand2_eleito;2o colocado no momento
governador-pr.json;candidatos[2].visivel;cand3_visivel;3o colocado no momento
governador-pr.json;candidatos[2].numero;cand3_numero;3o colocado no momento
governador-pr.json;candidatos[2].nome;cand3_nome;3o colocado no momento
governador-pr.json;candidatos[2].partido;cand3_partido;3o colocado no momento
governador-pr.json;candidatos[2].nome_partido;cand3_nome_partido;3o colocado no momento
governador-pr.json;candidatos[2].percentual;cand3_percentual;3o colocado no momento
governador-pr.json;candidatos[2].percentual_num;cand3_percentual_num;3o colocado no momento
governador-pr.json;candidatos[2].votos;cand3_votos;3o colocado no momento
governador-pr.json;candidatos[2].votos_num;cand3_votos_num;3o colocado no momento
governador-pr.json;candidatos[2].eleito;cand3_eleito;3o colocado no momento
governador-pr.json;candidatos[3].visivel;cand4_visivel;4o colocado no momento
governador-pr.json;candidatos[3].numero;cand4_numero;4o colocado no momento
governador-pr.json;candidatos[3].nome;cand4_nome;4o colocado no momento
