arquivo;caminho;campo;observacao
senador-pr.json;resumo.cargo;cargo;resumo
senador-pr.json;resumo.abrangencia;abrangencia;resumo
senador-pr.json;resumo.apuracao_pct;apuracao_pct;resumo
senador-pr.json;resumo.apuracao_pct_num;apuracao_pct_num;resumo
senador-pr.json;resumo.secoes_totalizadas;secoes_totalizadas;resumo
senador-pr.json;resumo.secoes_total;secoes_total;resumo
senador-pr.json;resumo.votos_validos;votos_validos;resumo
senador-pr.json;resumo.votos_brancos;votos_brancos;resumo
senador-pr.json;resumo.votos_nulos;votos_nulos;resumo
senador-pr.json;resumo.selo;selo;resumo
senador-pr.json;resumo.hora_atualizacao;hora_atualizacao;resumo
senador-pr.json;candidatos[0].visivel;cand1_visivel;1o colocado no momento
senador-pr.json;candidatos[0].numero;cand1_numero;1o colocado no momento
senador-pr.json;candidatos[0].nome;cand1_nome;1o colocado no momento
senador-pr.json;candidatos[0].partido;cand1_partido;1o colocado no momento
senador-pr.json;candidatos[0].nome_partido;cand1_nome_partido;1o colocado no momento
senador-pr.json;candidatos[0].percentual;cand1_percentual;1o colocado no momento
senador-pr.json;candidatos[0].percentual_num;cand1_percentual_num;1o colocado no momento
senador-pr.json;candidatos[0].votos;cand1_votos;1o colocado no momento
senador-pr.json;candidatos[0].votos_num;cand1_votos_num;1o colocado no momento
senador-pr.json;candidatos[0].eleito;cand1_eleito;1o colocado no momento
senador-pr.json;candidatos[0].barra_px;cand1_barra_px;1o colocado no momento
senador-pr.json;candidatos[0].barra_resto_px;cand1_barra_resto_px;1o colocado no momento
senador-pr.json;candidatos[0].barra_esc;cand1_barra_esc;1o colocado no momento
senador-pr.json;candidatos[0].barra_idx;cand1_barra_idx;1o colocado no momento
senador-pr.json;candidatos[1].visivel;cand2_visivel;2o colocado no momento
senador-pr.json;candidatos[1].numero;cand2_numero;2o colocado no momento
senador-pr.json;candidatos[1].nome;cand2_nome;2o colocado no momento
senador-pr.json;candidatos[1].partido;cand2_partido;2o colocado no momento
senador-pr.json;candidatos[1].nome_partido;cand2_nome_partido;2o colocado no momento
senador-pr.json;candidatos[1].percentual;cand2_percentual;2o colocado no momento
senador-pr.json;candidatos[1].percentual_num;cand2_percentual_num;2o colocado no momento
senador-pr.json;candidatos[1].votos;cand2_votos;2o colocado no momento
senador-pr.json;candidatos[1].votos_num;cand2_votos_num;2o colocado no momento
senador-pr.json;candidatos[1].eleito;cand2_eleito;2o colocado no momento
senador-pr.json;candidatos[1].barra_px;cand2_barra_px;2o colocado no momento
senador-pr.json;candidatos[1].barra_resto_px;cand2_barra_resto_px;2o colocado no momento
senador-pr.json;candidatos[1].barra_esc;cand2_barra_esc;2o colocado no momento
senador-pr.json;candidatos[1].barra_idx;cand2_barra_idx;2o colocado no momento
senador-pr.json;candidatos[2].visivel;cand3_visivel;3o colocado no momento
