arquivo;caminho;campo;observacao
tarja-presidente.json;cargo;cargo;resumo
tarja-presidente.json;abrangencia;abrangencia;resumo
tarja-presidente.json;apuracao_pct;apuracao_pct;resumo
tarja-presidente.json;selo;selo;resumo
tarja-presidente.json;hora_atualizacao;hora_atualizacao;resumo
tarja-presidente.json;cand1_visivel;cand1_visivel;1o colocado no momento
tarja-presidente.json;cand1_nome;cand1_nome;1o colocado no momento
tarja-presidente.json;cand1_partido;cand1_partido;1o colocado no momento
tarja-presidente.json;cand1_foto;cand1_foto;1o colocado no momento
tarja-presidente.json;cand1_percentual;cand1_percentual;1o colocado no momento
tarja-presidente.json;cand1_barra_px;cand1_barra_px;1o colocado no momento
tarja-presidente.json;cand1_cor;cand1_cor;1o colocado no momento
tarja-presidente.json;cand1_eleito;cand1_eleito;1o colocado no momento
tarja-presidente.json;cand2_visivel;cand2_visivel;2o colocado no momento
tarja-presidente.json;cand2_nome;cand2_nome;2o colocado no momento
tarja-presidente.json;cand2_partido;cand2_partido;2o colocado no momento
tarja-presidente.json;cand2_foto;cand2_foto;2o colocado no momento
tarja-presidente.json;cand2_percentual;cand2_percentual;2o colocado no momento
tarja-presidente.json;cand2_barra_px;cand2_barra_px;2o colocado no momento
tarja-presidente.json;cand2_cor;cand2_cor;2o colocado no momento
tarja-presidente.json;cand2_eleito;cand2_eleito;2o colocado no momento
